from,to,weight
Raja clavata,Polydora,1
Raja clavata,Ophiocten sericeum,1
Raja clavata,Ophiopholis aculeata,1
Raja clavata,Ophiura robusta,1
Myoxocephalus scorpius,Thysanoessa raschii,1
Myoxocephalus scorpius,Thysanoessa longicaudata,1
Myoxocephalus scorpius,Thysanoessa inermis,1
Myoxocephalus scorpius,Meganyctiphanes norvegica,1
Myoxocephalus scorpius,Boreomysis arctica,1
Myoxocephalus scorpius,Hyas araneus,1
Myoxocephalus scorpius,Lebbeus polaris,1
Myoxocephalus scorpius,Pagurus pubescens,1
Myoxocephalus scorpius,Pandalus borealis,1
Myoxocephalus scorpius,Glycera capitata,1
Myoxocephalus scorpius,Macoma calcarea,1
Myoxocephalus scorpius,Macoma moesta,1
Myoxocephalus scorpius,Ophiocten sericeum,1
Myoxocephalus scorpius,Ophiopholis aculeata,1
Myoxocephalus scorpius,Ophiura robusta,1
Myoxocephalus scorpius,Lycodes,1
Myoxocephalus scorpius,Sebastes mentella,1
Myoxocephalus scorpius,Liparis liparis,1
Myoxocephalus scorpius,Anisarchus medius,1
Myoxocephalus scorpius,Lumpenus lampretaeformis,1
Myoxocephalus scorpius,Leptagonus decagonus,1
Myoxocephalus scorpius,Leptoclinus maculatus,1
Myoxocephalus scorpius,Liparis fabricii,1
Anarhichas lupus,Hyas araneus,1
Anarhichas lupus,Pagurus pubescens,1
Anarhichas lupus,Pandalus borealis,1
Anarhichas lupus,Nephtys ciliata,1
Anarhichas lupus,Nereimyra punctata,1
Anarhichas lupus,Nereis zonata,1
Anarhichas lupus,Boreogadus saida,1
Anarhichas lupus,Gadus morhua,1
Anarhichas lupus,Reinhardtius hipoglossoides,1
Anarhichas lupus,Hipoglossoides platessoides,1
Anarhichas lupus,Lycodes,1
Anarhichas lupus,Sebastes mentella,1
Anarhichas lupus,Liparis liparis,1
Anarhichas lupus,Anisarchus medius,1
Anarhichas lupus,Lumpenus lampretaeformis,1
Anarhichas lupus,Leptagonus decagonus,1
Gymnocanthus tricuspis,Parapleustes bicuspis,1
Gymnocanthus tricuspis,Parapleustes monocuspis,1
Gymnocanthus tricuspis,Paroediceros lynceus,1
Gymnocanthus tricuspis,Pleustes panoplus,1
Gymnocanthus tricuspis,Pleusymtes glabroides,1
Gymnocanthus tricuspis,Pontoporeia femorata,1
Gymnocanthus tricuspis,Rhachotropis inflata,1
Gymnocanthus tricuspis,Spirontocaris spinus,1
Gymnocanthus tricuspis,Spirontocaris turgida,1
Gymnocanthus tricuspis,Stilomysis grandis,1
Gymnocanthus tricuspis,Syrrhoe crenulata,1
Gymnocanthus tricuspis,Nereimyra punctata,1
Gymnocanthus tricuspis,Nereis zonata,1
Pusa hispida,Thysanoessa raschii,1
Pusa hispida,Thysanoessa longicaudata,1
Pusa hispida,Thysanoessa inermis,1
Pusa hispida,Meganyctiphanes norvegica,1
Pusa hispida,Lebbeus polaris,1
Pusa hispida,Pandalus borealis,1
Pusa hispida,Mya truncata,1
Pusa hispida,Sabinea septemcarinata,1
Pusa hispida,Sclerocrangon boreas,1
Pusa hispida,Boreogadus saida,1
Pusa hispida,Reinhardtius hipoglossoides,1
Pusa hispida,Sebastes mentella,1
Erignathus barbatus,Mya truncata,1
Erignathus barbatus,Nuculana minuta,1
Erignathus barbatus,Boreogadus saida,1
Erignathus barbatus,Reinhardtius hipoglossoides,1
Erignathus barbatus,Sebastes mentella,1
Phoca vitulina,Thysanoessa raschii,1
Phoca vitulina,Thysanoessa longicaudata,1
Phoca vitulina,Thysanoessa inermis,1
Phoca vitulina,Meganyctiphanes norvegica,1
Phoca vitulina,Mya truncata,1
Phoca vitulina,Boreogadus saida,1
Phoca vitulina,Reinhardtius hipoglossoides,1
Phoca vitulina,Sebastes mentella,1
Odobenus rosmarus,Macoma calcarea,1
Odobenus rosmarus,Macoma moesta,1
Odobenus rosmarus,Musculus corrugatus,1
Odobenus rosmarus,Musculus discors,1
Odobenus rosmarus,Mya truncata,1
Odobenus rosmarus,Nuculana minuta,1
Odobenus rosmarus,Nuculana pernula,1
Odobenus rosmarus,Pandora glacialis,1
Dephinapterus leucas,Boreogadus saida,1
Dephinapterus leucas,Reinhardtius hipoglossoides,1
Dephinapterus leucas,Sebastes mentella,1
Balaenoptera acutorostrata,Thysanoessa raschii,1
Balaenoptera acutorostrata,Thysanoessa longicaudata,1
Balaenoptera acutorostrata,Thysanoessa inermis,1
Balaenoptera acutorostrata,Meganyctiphanes norvegica,1
Balaenoptera acutorostrata,Boreogadus saida,1
Balaenoptera acutorostrata,Reinhardtius hipoglossoides,1
Balaenoptera acutorostrata,Sebastes mentella,1
Calidris maritima,Boreogadus saida,1
Calidris maritima,Reinhardtius hipoglossoides,1
Calidris maritima,Sebastes mentella,1
Somateria mollissima,Fucus distichus,1
Somateria mollissima,Pylaiella littoralis,1
Somateria mollissima,Chordaria flagelliformis,1
Somateria mollissima,Acrosiphonia,1
Somateria mollissima,Alaria esculenta,1
Somateria mollissima,Laminaria saccharina,1
Somateria mollissima,Laminaria digitata,1
Somateria mollissima,Saccorhiza dermatodea,1
Somateria mollissima,Laminaria solidungula,1
Somateria mollissima,Phycodrys rubens,1
Somateria mollissima,Ptilta gunneri,1
Somateria mollissima,Fimbrifolium dichotomum,1
Somateria mollissima,Desmarestia aculeata,1
Somateria mollissima,Palmaria palmata,1
Somateria mollissima,Devaleraea ramentacea,1
Somateria mollissima,Turnerella pennyi,1
Somateria mollissima,Desmarestia viridis,1
Somateria mollissima,Phytodetritus,1
Somateria mollissima,Sediment,1
Alle alle,Thysanoessa raschii,1
Alle alle,Thysanoessa longicaudata,1
Alle alle,Thysanoessa inermis,1
Alle alle,Meganyctiphanes norvegica,1
Alle alle,Boreogadus saida,1
Cepphus grylle,Boreogadus saida,1
Fulmarus glacialis,Lebbeus polaris,1
Fulmarus glacialis,Pandalus borealis,1
Fulmarus glacialis,Sabinea septemcarinata,1
Fulmarus glacialis,Sclerocrangon boreas,1
Fulmarus glacialis,Boreogadus saida,1
Fulmarus glacialis,Gadus morhua,1
Fulmarus glacialis,Reinhardtius hipoglossoides,1
Fulmarus glacialis,Hipoglossoides platessoides,1
Fulmarus glacialis,Lycodes,1
Fulmarus glacialis,Sebastes mentella,1
Fulmarus glacialis,Liparis liparis,1
Fulmarus glacialis,Anisarchus medius,1
Fulmarus glacialis,Lumpenus lampretaeformis,1
Fulmarus glacialis,Leptagonus decagonus,1
Fulmarus glacialis,Leptoclinus maculatus,1
Fulmarus glacialis,Liparis fabricii,1
Fulmarus glacialis,Artediellus europeus,1
Fulmarus glacialis,Careproctus reinhardti,1
Fulmarus glacialis,Sebastes marinus,1
Fulmarus glacialis,Mallotus villosus,1
Fulmarus glacialis,Eumicotremus derjugini,1
Fulmarus glacialis,Raja clavata,1
Fulmarus glacialis,Myoxocephalus scorpius,1
Fulmarus glacialis,Anarhichas lupus,1
Fulmarus glacialis,Gymnocanthus tricuspis,1
Rissa tridactyla,Thysanoessa raschii,1
Rissa tridactyla,Thysanoessa longicaudata,1
Rissa tridactyla,Thysanoessa inermis,1
Rissa tridactyla,Meganyctiphanes norvegica,1
Rissa tridactyla,Boreogadus saida,1
Larus hyperboreus,Lebbeus polaris,1
Larus hyperboreus,Pandalus borealis,1
Larus hyperboreus,Sabinea septemcarinata,1
Larus hyperboreus,Sclerocrangon boreas,1
Larus hyperboreus,Boreogadus saida,1
Larus hyperboreus,Gadus morhua,1
Larus hyperboreus,Reinhardtius hipoglossoides,1
Larus hyperboreus,Hipoglossoides platessoides,1
Larus hyperboreus,Lycodes,1
Larus hyperboreus,Sebastes mentella,1
Larus hyperboreus,Liparis liparis,1
Larus hyperboreus,Anisarchus medius,1
Larus hyperboreus,Lumpenus lampretaeformis,1
Larus hyperboreus,Leptagonus decagonus,1
Larus hyperboreus,Leptoclinus maculatus,1
Larus hyperboreus,Liparis fabricii,1
Larus hyperboreus,Artediellus europeus,1
Larus hyperboreus,Careproctus reinhardti,1
Larus hyperboreus,Sebastes marinus,1
Larus hyperboreus,Mallotus villosus,1
Larus hyperboreus,Eumicotremus derjugini,1
Larus hyperboreus,Raja clavata,1
Larus hyperboreus,Myoxocephalus scorpius,1
Larus hyperboreus,Anarhichas lupus,1
Larus hyperboreus,Gymnocanthus tricuspis,1
Sterna paradisaea,Lebbeus polaris,1
Sterna paradisaea,Pandalus borealis,1
Sterna paradisaea,Sabinea septemcarinata,1
Sterna paradisaea,Sclerocrangon boreas,1
Sterna paradisaea,Boreogadus saida,1
Sterna paradisaea,Reinhardtius hipoglossoides,1
Sterna paradisaea,Sebastes mentella,1
Ursus maritimus,Pusa hispida,1
Ursus maritimus,Erignathus barbatus,1
Ursus maritimus,Phoca vitulina,1
Ursus maritimus,Odobenus rosmarus,1
Ursus maritimus,Balaenoptera acutorostrata,1
